GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan,class
120.3627737,205.5,119.3953488,416.5813953,20.67631835,1
124.7395833,202.8,115.3333333,354.3333333,16.70715083,1
134.6919643,199.2857143,116.8571429,477.8571429,22.49671178,1
127.9463087,178.3684211,92.36842105,278.4736842,14.97745305,1
135.4315476,197.0,112.6904762,532.952381,17.60419258,1
118.3479624,226.15,138.85,608.9,29.07279656,1
135.4362819,184.5,95.14285714,309.1904762,13.05526366,1
121.1696429,226.0,146.2142857,595.5714286,22.80854208,1
131.1271605,232.7843137,144.5882353,563.8431373,11.94856335,1
134.4980916,210.2121212,116.9090909,594.8484848,27.93768482,1
131.1647727,206.6818182,114.7272727,483.0454545,22.9035437,1
136.0959596,201.4,111.4,444.6,16.55362196,1
122.6319018,230.5609756,142.195122,473.7073171,24.52188863,1
113.6561798,213.1071429,129.7857143,480.8571429,29.23776563,1
133.894198,191.6216216,115.5135135,419.5135135,17.48913886,1
131.1114983,213.6666667,125.4444444,537.8888889,19.43481905,1
127.8356974,201.3584906,116.509434,372.1320755,23.92911092,1
121.6112601,199.7446809,121.0638298,338.1276596,15.01910659,1
106.2421053,221.75,140.0,381.1666667,18.90326251,1
147.7711268,220.1111111,123.7222222,479.1666667,23.33703674,1
135.8239376,192.2328767,115.0958904,332.4246575,12.80569164,1
134.9589744,226.6734694,141.4693878,435.9591837,17.60610719,1
128.5314083,188.984,93.312,296.616,16.93249468,1
143.5287356,170.3636364,78.45454545,400.0,10.83230552,1
141.109375,164.625,68.0,242.5,6.75347133,1
140.0260304,189.8965517,89.24137931,561.3103448,23.8375896,1
132.5877301,222.3921569,133.0588235,579.2156863,19.83265243,1
121.7578947,174.0,92.66666667,217.7777778,14.05544576,1
135.6771654,199.75,105.2083333,453.3333333,16.18507328,1
119.4574037,180.7419355,93.14516129,227.7741935,12.29325382,1
124.591944,179.4166667,89.08333333,208.0833333,20.35260168,1
126.527972,178.7777778,85.11111111,359.7777778,11.08051343,1
135.0244845,190.877551,104.5510204,270.6530612,14.32993157,1
142.5657895,183.4166667,89.76388889,240.2638889,11.2986602,1
124.6110092,180.826087,93.43478261,242.6086957,9.803702433,1
130.8496504,175.3333333,83.40277778,342.2777778,21.17167847,1
133.8541667,166.4074074,78.74074074,254.3703704,14.17507618,1
119.7145576,231.8333333,153.5151515,591.0151515,25.38598722,1
123.2785445,218.26,129.68,600.22,29.89494272,1
117.6392915,215.5641026,131.2051282,504.0769231,22.19422958,1
138.5127238,202.0447761,118.5373134,445.9253731,20.08493882,1
118.5783235,198.5675676,117.0675676,429.1351351,33.42097075,1
134.0640366,183.4636364,95.59090909,236.6818182,18.0037301,1
117.650655,236.4861111,155.4583333,541.5416667,18.51182055,1
135.2842566,234.6511628,149.8372093,587.0,22.06688785,1
123.3024283,207.754386,120.6666667,436.0877193,18.28445596,1
128.0960929,199.2,118.4,403.3333333,21.40589223,1
119.6355506,200.6517857,118.8214286,312.5178571,21.87177819,1
119.5065217,224.2413793,131.5862069,592.2413793,27.41082179,1
132.279558,213.5087719,126.2105263,503.6315789,26.66693213,1
123.7522831,222.0181818,134.6727273,510.0363636,21.58721691,1
123.9972973,221.6714286,156.2428571,493.4142857,24.43919568,1
130.0105018,184.8703704,103.1666667,319.7777778,21.73225274,1
122.7978339,202.3428571,132.4857143,322.2857143,15.8353776,1
132.4047758,201.3055556,125.4074074,373.8055556,23.22029498,1
127.8071795,202.7119565,120.7228261,415.8043478,27.25897123,1
122.1594203,195.15,128.825,323.975,28.94809741,1
126.4321845,206.4229075,128.5991189,403.061674,23.36858873,1
128.3687542,211.3544974,140.6507937,411.3015873,24.84213476,1
126.739726,203.3913043,129.9043478,390.8173913,20.6357848,1
128.5811359,200.8709677,119.3225806,436.5564516,24.03356784,1
136.3594354,210.3058104,118.4220183,462.5688073,21.60957497,1
128.97306,202.625,118.7592593,427.4953704,21.30353289,1
131.5998251,209.5601852,117.2361111,566.0092593,36.4421222,1
122.6654275,218.2677165,136.5866142,498.6338583,26.64967609,1
132.4554924,198.8656716,113.8059701,323.0597015,18.65771938,1
129.2080096,188.6886792,110.6509434,327.7169811,19.00539542,1
124.5904664,197.3252033,120.6422764,398.8536585,18.67563734,1
129.3601369,207.2619048,123.9455782,464.7244898,26.64040968,1
141.5742297,199.2444444,127.3333333,364.1777778,15.21928601,1
127.2188119,190.3149606,110.1023622,383.3937008,19.66645422,1
118.1225854,217.8941176,134.2352941,443.1117647,18.37603091,1
138.6143141,213.6031746,126.1111111,421.0,18.30492542,1
134.3015015,210.6,125.6714286,436.1904762,21.03409876,1
142.867713,228.6785714,104.3928571,674.9642857,32.39953073,0
143.4972826,211.6086957,95.73913043,612.3478261,29.53009423,0
135.725,238.9166667,107.5833333,741.2708333,20.84107148,0
112.8245614,236.92,108.04,705.84,22.67065063,0
111.2075472,233.1,105.575,729.775,23.67381201,0
124.955163,226.6956522,100.5652174,686.4347826,27.8710998,0
